input_string,lewd,offensive,intent,group
Floyd please deliver me from temptation as I oh so wish this bitch would hurry thee fuck up so I can surfboard on my bed.,N,N,N,N
Niggas gossip like hoes man I ain't wid that shit,N,Y,Y,N
RT @pppssshhh_: I be hatin when hoes be comin to me like I'm finna save them #aintnobread bitch u better get out here and get it,N,Y,Y,N
@ the chick who is gorgeous and so fine but her pussy stinks,Y,Y,Y,N
Early bird catches the worm &#128076;,N,N,N,N
I hate these hoes that look thick from the front them she pass u &amp; her ass be missing,Y,Y,Y,N
SOMEBODY please BRING OUT OF MY hotel room and HIRE ME for something REAL&gt; I work hard for somebody throwing me in the trash. #IWantOut,N,N,N,N
Where a prego bitch when I need one I have no milk an a whole box of cinnamon toast crunch man,N,Y,Y,N
PHILOSOPHY EXISTENTIALISM AND DEPTH and not trash pop  #MTVHottestLanaDelRey,N,N,N,N
RT @XdalovelyTishai: Most of these niggas go broke for these hoes,N,Y,Y,N
@JoeDouglas1 sit down and stfu raghead @Darknight420 @hajihuntingpat,N,Y,Y,N
@Fru_Iam I seen sum of it but I'm tryin see lox n mook,N,N,N,N
@Leelucas_ &amp; you got cancer hoe,N,Y,Y,N
these pussy ass niggas ain't bout that life,Y,Y,Y,N
I bought hummus and broccoli. I just need snacks and shit. RT @Omgitstamz: i need to buy crackers and shit,N,N,N,N
I'm a bitch,N,Y,Y,N
I don't put nothing pass nobody when it comes money n pussy.,N,Y,Y,N
@MillerCoors Thanks for the follow guys! I'm enjoying a cold yellow belly right now.,N,N,N,N
@_travvv's pussy. http://t.co/aXm9PCw95T,Y,Y,Y,N
Im just gettin started oh yeah we got it bitch,N,N,N,N
@justinbieber nice wigger stache,N,Y,Y,N
The bitch is freeee!!!! ;D,N,Y,Y,N
RT @TheFunnyVines: Crazy bird https://t.co/XuvE34qenH,N,N,N,N
like a bitch pic is flirting nowadays,N,Y,Y,N
Lmaoo RT @IMCoolLike_That: Stfu..who are u to prefer what a woman wears on her feet bitch RT @80sbaby4life: I hate bitches that wear wedges,N,Y,Y,N
"RT @HipHopIsDeaddd: My brother want to put on an asshole persona just to get females.That what happens when you let pussy control you, you&#8230;",Y,Y,Y,N
RT @imlovinglucy: - you ain't a bad bitch if you got bad habits!!!.,N,Y,Y,N
Good Morning to lightskin dyke bitches with Steven Segal ponytails.,N,Y,Y,N
The tweeter gurl is on Tumblr using a taser on roaches that I'm assuming are in her house. You bitches have no shame.,N,Y,Y,N
RT @TAXSTONE: A woman's revenge To a man is being a hoe,N,Y,Y,N
Cut that bitch off!!,N,Y,Y,N
@boxingscene Danny will be in deep deep water at 147 too many badass sons of bitches up there,N,Y,Y,N
RT @DomBeets: Don't be afraid to let your feelings show. Unless you're a bitch.,N,Y,Y,N
good dick tattoos bitches like dat... talk to dem any kind of way the bitches like dat...,Y,Y,Y,N
RT @iSellGreenCards: 1st RT @MsSashaBelle: Show proof I sold pussy for $65. I'll wait.,Y,Y,Y,N
Who told this midget hoe to start stripping,Y,Y,Y,N
&#8220;@dappermuke: i'll be a bitch when i have to be a bitch :)  #fandomapology  #5sosFamAnd1DfandomFollowParty&#8221; PREACH,N,Y,Y,N
"RT @UmChillBreaux: it's never about the hoes he's entertaining, it's always about the fact that he's entertaining these hoes!",N,N,N,N
Charlie bit me,N,Y,Y,N
You see me shining on yo bitch ass &#128570;&#128571;&#10024;&#127775;&#128171; http://t.co/ekWNL6bau4,N,Y,Y,N
Liberty and justice for all RT @ThatAngryNigga Go get me a sandwich nigger or I'll kill you,N,Y,Y,Y
Vice News interview with the Canadian Jihadi has the poem I translated f4 u as its sound track http://t.co/7gebzU4Paz http://t.co/WwL05Orih6,N,N,N,N
"I have to tell you a secret, ""your a stupid hoe""",N,Y,Y,N
Roll that weed bitch Shake that ass hoe,N,Y,Y,N
RT @Steven_ratata: @savanigga warning shots are for pussies I'm just gonna gun you down! And steal your pink boots!,N,Y,Y,N
I never put no hoes b4 my bros,N,Y,Y,N
@apmorales96 gotta keep fighting bro Thea hoes just trying to bring me down. #thestrugle,N,N,N,N
RT @LorenzoLuciano: Females always complaining about some shit niggas ain't doing right....like bitches don't have flaws,N,Y,Y,Y
"ray Allen like, ""MAN!! that's some goddamn motherfucking cunt ass bullshit!!!"" cus it is",N,Y,Y,N
S/o to the homie @BlakkHoodie_562 niggah stay making bomb food when we high af,N,Y,Y,N
@StephyRae7 Will NEVER happen faggot. Got complemented on it today at golf by @GabrielaAngela4 several times. ;),N,Y,Y,N
"I like my seat down low and my window slightly cracked, riding wit a bad hoe wit her girlfriend in the back",Y,Y,Y,N
Flights from Liberia should just be rerouted to Ferguson.. 2 birds 1 stone.,N,N,N,N
""" bad bitches is the only thing that i like """,N,Y,Y,N
"It's just not the same, #LittleDebbie #Cloud #Cake are not #Twinkies! http://t.co/OOILML6M",N,N,N,N
Just stopped by the line up room @BeaLack still look like a doo wop singer.,N,N,N,N
The bitches behind me are so annoying,N,Y,Y,N
RT @_ConnerJay: Ho ho ho bitches Merry 4 months-ish until Christmas. http://t.co/4JCiu8vHzV,N,Y,Y,N
I hate bitches with thick eyebrows,N,Y,Y,N
Little things can just kill a negros mood man,N,N,N,N
"My dad just said ""Karl was always the biggest pussy of all 3 of the kids, I'm sorry Karl, but... You're just a pussy"" I love my dad LMFAO",Y,Y,Y,N
24_rozay_idgt mad cuz Twan fuck his bitch&#128514; http://t.co/GoyZfOU46I,Y,Y,Y,N
She wonder why im into her when all these hoes be into me,N,N,N,N
Put a ring on it or it ain't yo bitch!,N,Y,Y,N
Bobby bitch&gt;Hot nigga,N,Y,Y,N
Tired of these hoes breathing my air.,N,Y,Y,N
the bae gettin her nips pierced &#128525;&#128525;,N,N,N,N
Marcus Colston so damn trash.,N,Y,Y,N
You right fam. RT @pufntrees: @202SOLE jus peeped ur tl.cmon son.look at em.he a bitch,N,Y,Y,N
RT @aurie_xo: Fuking bitches that don't move when you say excuse me is what's wrong in this world.,N,Y,Y,N
"@juiccey_j i understand why, everyone loves pussy",Y,Y,Y,N
I'm too much of a bitch to say anything about that,N,Y,Y,N
"Oh you want pho? Well saimigi is ghetto pho, eat that shit since im broke&#128564;&#128514;",N,Y,Y,N
@thickumms_x3 very wrong lmao this bitch literally tried to swallow someone in this movie,N,Y,Y,N
@OpalRose4UrSoul @duckydynamo @TreThreat it's a band negro,N,Y,Y,N
#Yankees I went to Golds with Cruz in 2010 when he was a Sound. No upper /lower body strength.. Hmm now 40 HR hitter. Won't say the S word.,N,N,N,N
@Royceda59 Green bananas are better then yellow ones too.,N,N,N,N
"@Marlon_N_Gaines I am brown, while you are black and ignorant, your stupidity makes me sick, typical thug looking nigger.",N,Y,Y,N
"Just spoke w/ @HispanicLinkNS legend, mentor Charlie Ericksen. Great to catch up w/ those who helped open doors for Latino journos #thankful",N,N,N,N
@GoldieMack_ hoe told me she was gonna chop my dick off... She was from Baltimore,Y,Y,Y,N
RT @VibeLord: your opinion of me is highly irrelevant bitch,N,Y,Y,N
Beer ball isn't for pussies,N,Y,Y,N
&#8220;@MarieHippy: Bitch niggas pay for hoes just to lay with hoes&#8221; relax one night you'll pay to stay with hoes,Y,Y,Y,Y
Shoot that nigga &amp; his shorty bitch &#128143;&#128299;,N,Y,Y,N
im weeaboo trash,N,Y,Y,N
She know my ex bitch she think she got next she fucced a gang of niggas threw that pussy off dec!,Y,Y,Y,N
&#8220;@NotGrimey &#8220;@BobbyBudnic My brother a faggot&#8221;&#8221;smh,N,Y,Y,N
On a mission to find some zebra cakes,N,N,N,N
"I've never had a problem w| anybody here, I've been w| the company for a year, and then this snitch fucking bitch is trying to get me fired",N,Y,Y,N
@_C_Parris69_ your picture makes you look like a serious fag. #justsayin lol,N,Y,Y,N
RT @arigold_88: Jordan wearing bitches need to grow tf up,N,Y,Y,N
"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",N,Y,Y,N
Feelin like I can have any bitch I want.   Feelin like all these hoes in this bitch want me.,N,N,N,N
Dani Alves pulled off that hairstyle. Neymar just looks like a faggot,N,Y,Y,N
RT @PRAYINGFORGEMS: the timeline boring because all the hoes out right now probably getting fucked or planning too,N,N,N,N
@cooney_mane @nflcommish it's not right but it's the rule. The nfl has a strike policy for drugs and josh Gordon is retarded,N,Y,Y,N
@JesseAbrego bitch I might be,N,Y,Y,N
RT @IamMrEchols: If you was a hoe yesterday you'll be a hoe tomorrow,N,Y,Y,N
Three little birds,N,N,N,N
Kids don't put up with your Mother calling you a thot. She mad because hoe wasn't a cool thing to be called back in her sluttish day.,N,Y,Y,N
Bitches think they're slick but no matter how hard they try and hide it we can still tell if they're hoes or not,N,Y,Y,Y
Screaming like a lil bitch &#128514;,N,Y,Y,N
RT @JustAn0th3r: It ain't nuttin to cut that bitch off.,N,Y,Y,N
Truth be told...that's all my pussy &#128175;,Y,Y,Y,N
Damn.. lol *CENSORED* RT @jwill252: Redskins Bitch!!!! Lets fucking go fuck the eagles we bout to burn that bitch down!! HTTR,N,Y,Y,N
RT @TideRecruits101: It's ok to trash talk....but I haven't seen any Bama fans wishing harm or injury towards LSU players.,N,N,N,N
@CogitoErgoBibo Penske runs the 22 in NASCAR. It's yellow. There's a sponsor already there. #WouldMakeALottaSense,N,N,N,N
@L0SERNIGGA @HotNiggaDarius all bitches all day all the time,N,Y,Y,N
"RT @aychmoore: most teachers abuse their position, there's teaching with discipline and there's being a cunt, most are cunts",N,Y,Y,N
RT @Devon_Toppin2: fuck a bitch we never loved a thot,N,Y,Y,N
"@luchadora41 so was slavery, prohibition and not letting women to vote... segregation jim crow laws.. etc etc i can do this all day lol",N,N,N,N
It's gonna be a long season for the Yankees if this simulation is right #BlueJays #Rays #Yankees #Orioles&#8230; http://t.co/Zc3k9NDB1T,N,N,N,N
&#8220;@kanga_ruthie: When people complain to me about prices I'm just like bitch do I look like I make the rules?&#8221;,N,Y,Y,N
"When all else fails, blast bare nips",N,Y,Y,N
"If she'll tell you she's a ""badd bitch"" then listen.  She's bad for your health!",N,Y,Y,N
RT @TalibKweli: Do you want to hear the truth or are you only looking to hear what makes you feel all warm and fuzzy inside? I choose truth&#8230;,N,N,N,N
what's wrong with bitches fuck nigga,Y,Y,Y,Y
@mmyar It's dumb cunts like you that make me sad to have served in a war so you wouldn't have to.,N,Y,Y,N
RT @GhettoViine: This bitch came to the club with a broken neck? Bitch you serious? https://t.co/A9yNUopYvY,N,Y,Y,N
"Got ya crackas, spics, chinks, and carpet riders but no niggas MLK ain't fight for nothing #GimmeABlackEmoji",N,N,N,N
@JawShoeeAhhh that means you're balling if you're Jewish lol I don't love hoes lol,N,Y,Y,Y
#DTLA is trash because of non-Europeans are allowed to live there.,N,Y,Y,N
"@drboycewatkins1 Coons and monkeys like you disgust me, you minstrel show negro. Crying about shit all the time you're a disgrace everywhere",N,Y,Y,Y
@SlowDollaz photoshop my nig,N,Y,Y,N
"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",Y,Y,Y,N
&#8220;@Boobah_: What's the symptoms for Ebola? My stomach been hurting b. I'm nervous&#8221;bitch you better not be we was drinking out same bottle,N,Y,Y,N
@longbongchris same here nigga the minute it dropped I got it. Fuck with our team bitch,N,Y,Y,N
"If a nigca neva told you ""bitch you got some bomb azz puzzy"" kill yaself bitch http://t.co/CZXRV9to4A",N,Y,Y,N
"RT @ImFinaTweetThat: ""@217Emmanuel: Lil bitch, you ain't know/you can never score from the sideline, hoe!""",N,Y,Y,N
"Only people not home right now are nurses, hoes, &amp; niggas tryna hit them hoes&#9996;&#65039;",N,Y,Y,Y
Just like a bitch. Typical shit. Stepping in place. Elliptical shit. Wizard of hearts. Mythical shit. Watch yourself. Mystical shit.,N,Y,Y,N
RT @taylor_TM: @PacmanJonez @PhilWOTG you the whitest person on my TL but you always so ghetto. Im sick of it,N,Y,Y,N
MURDER HER RT @RepMyCityX: When u fuck with crazy bitches shit like this happens :( Feel bad for ol boy http://t.co/IjacWo6OB8,Y,Y,Y,N
Remember when I would spank everyone in meme wars? Because I do #faggots,Y,Y,Y,N
Lmaoo RT @De_La_David: @JaeTips bruh make a song called uber and the hook can be that uber make that pussy wet,Y,Y,Y,N
RT @NoBeeetch: @Ugh_Sickoe @thuggchelseaa aye bitch http://t.co/7NIebl9xQr,N,Y,Y,N
RT @Just_this_time: If you think I've been an opinionated bitch lately just be glad I've stayed quiet on 3 of the topics swirling around he&#8230;,N,Y,Y,N
@davidly62793584 how many fuckin fags did a even get? Shouldnt be allowed into my wallet whilst under the influence haha,N,Y,Y,N
@LaBugg09 &#128514;&#128514; my fault it sound like it fucc nicca,N,N,N,N
RT @MaryWCVB: Charlie Baker about to make his final election eve campaign stop- here at Swampscott High School. #wcvb #wcvbpoli http://t.co&#8230;,N,N,N,N
@CassiusClay_232 I know bro nigga seen a 7'1 African playing Guard and was handling the hoe,Y,Y,Y,Y
"Hittin licks, what you get outta that? You &amp; yo boys is some pussy cats!!!",Y,Y,Y,N
Bitches always like you got hoes.. I be like duhh I'm tryna make you one of em &#128514;&#128514; nbs,N,N,N,N
@lifeof_brandon bitch I called yu back,N,Y,Y,N
RT @49ant: down ass bitch RT @NewsBreaker: Aaron Hernandez's girlfriend lied to grand jury 29 times http://t.co/k6x3dUKhtf,N,Y,Y,N
I'm about to post my Charlie Clips vs Yung ill rap battle review in a few,N,N,N,N
"It happens AGAIN!! Black pack beats ""whitey."" This should make national news. http://t.co/izKoA2Xb",N,N,N,N
"RT @BriWh0: Niggas gossip like hoes, most of 'em bitches",N,Y,Y,Y
RT @HighFiveOhTwo: I can't stand this dumb fucking bitch,N,Y,Y,N
@kamkamluvsblk Yeah one called me a race traitor lol,N,Y,Y,N
RT @JewlzSantana: making every bitch feel important...,N,Y,Y,N
iggy wanna be black so bad. ur a white widow hoe,N,Y,Y,N
the trash wheel has a twitter? and googly eyes?,N,Y,Y,N
RFT Tweet of the day&#128588;&#128588; &#8220;@HereForEB: If a nigga change on you.. Fuck em.. He was a bitch nigga from day 1&#8221;,N,Y,Y,N
"Everyday I wake up celebrating, why? I just dodged a bullet from a crazy bitch.",N,Y,Y,N
"RT @DiggaBITCH: That pussy &#128572;keep calling me, gettin me in trouble",Y,Y,Y,N
"@dantoomey2 you fat Irish fucking cunt, I honestly hope you choke to death in a pool of your own Jameson induced vomit",N,Y,Y,N
Gave that bitch an E pill... Bitches love fucking wit they EX,Y,Y,Y,N
@FOLLOWNOVA Yooo I was thinking bout that the other day lol.. You only really speaking of one person my niggah,N,Y,Y,N
RT and pass that bitch http://t.co/YoLSpKhiC0,N,Y,Y,N
Austin is a funny niggah,N,N,N,N
RT @HilariousBubble: &#8220;what are you twelve&#8221;  yeah on a scale of one to ten   bitch,N,Y,Y,N
I love the acoustic domes in the hallways. Favorite place to sing in public. No lie. http://t.co/G6Az9ryUbQ,N,N,N,N
@Coley_Cee my bad bitch ayeee http://t.co/GrHTDie9dz,N,Y,Y,N
Catch me fuckin off tonight @viplounge901... #NoLineNoWait in that bitch as well... #MeetMeThere http://t.co/ZQvGMLzqfE,N,Y,Y,N
"RT @KinkyGoose: Eat mangos, get bitches.  To be honest, I don't do either of these.&#128514;",N,Y,Y,N
RT @mediacrooks: Only an extreme lowlife bitches abt her juniors in public @SagarikaGhose.. Rajdeep Reveals His Ugly Character In NY http:&#8230;,N,Y,Y,N
I curved yo bitch. Your welcome.,N,Y,Y,N
RT @hippiescrub: yaaas bitch yaas u so hot bitch yaaas @WhereYoHussleAt,N,Y,Y,N
@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh,N,Y,Y,N
&#128553;&#128557; RT @Freegeezy17: My Co worker talking about what's my twitter name Oh no hoe you could never screen shot me to the boss,N,Y,Y,N
"RT @TrueTorontoGirl: I am woman, hear me bitch.",N,N,N,N
Molly's that bitch you love when she comes but hate when she goes..,N,Y,Y,N
Bruh. pt. 2 jaxon1114 killed this hoe too last night while we was sleep. http://t.co/F1Choia21G,N,Y,Y,N
"RT @JuanNDaCut: Porn ads be convincing af...""click here and 30 bitches will appear in your bed"" you DAMN RIGHT ima click that shit nigga",Y,Y,Y,N
@_elennamichelle nope not at all but I'm stuck in a house full of fucking niggers help me escape &#128553;,N,Y,Y,N
@Korrect973 don't pay dem bitches and they dirty ass chucks no mind bro,N,Y,Y,N
hoe w the chanel backpack...... please.....,N,N,N,N
1 more day bitches!!!!,N,N,N,N
Bullets through a nigguh tru jeans,N,Y,Y,N
@MrMooncricket @AtBlackface @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ugly gay nigga bitch fucking peace of shit,N,Y,Y,N
@Sheen300 Ok. So for what reason did god make parasitic worms whose sole purpose is to burrow into the eye of a small African child?,N,Y,Y,N
RT @oroozco16: &#8220;@Tonymartinezz15: Some bitches need to get a life &#128175;&#128079;&#128524;&#8221;,N,Y,Y,N
"Country music and rap music both talk about the same basic shit repetitively. Cars/trucks, bitches/women, beer/drugs. Guns lol",N,N,N,N
Im about to get all the pussy.,Y,Y,Y,N
@creepgoddess oh? He still talking to other bitches I bet. NONE of my biz tho,N,N,N,N
how many of U hoes bad ass little kids dont their medication and cut up in school every week?,N,Y,Y,N
So jealous of my parents and Bryce gone to rednecks with paychecks for the weekend I should've gone &#128520; http://t.co/F0mZQjWcRp,N,N,N,N
@cameron_ast @lanahudsonnn @ijrojo bitch shut the fuck and follow what u say nigga,N,Y,Y,N
Told my bitch I don't wanna eat I'm money hungry,N,Y,Y,N
Controlled the aux cord the whole two and a half hour drive home and didn't repeat a single song. Bet your boyfriend couldn't do that bitch,N,Y,Y,N
who's pussy better then a crazy bitch?,Y,Y,Y,N
@gabbella03 rt something else from another bitch in panties about love I swear,Y,Y,Y,N
@kieffer_jason @C_janacek07. No the fuck it doesn't it's a fucking song wtf r u talking about. Yes the fuck I can bitch,N,N,N,N
You have my word we will RT @JRwrz: @Thotcho beat those fucking faggots pls,N,Y,Y,N
RT @NavyAssLos: Hunter Hurt Helmsley RT @Rich_GMI: Cut the imaginary height shit. Most of the women tweeting about it sleep alone every nig&#8230;,N,Y,Y,N
"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot",N,Y,Y,N
@kieffer_jason bitch you are not funny stfu talking to me what part of that do you not understand?,N,Y,Y,N
RT @NicoRomero23: EDM music is trash af and annoying,N,Y,Y,N
"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",N,Y,Y,N
@NoBeeetch @Iam_webster faggot,N,Y,Y,N
@GossipCop screw the little porch monkey!,N,Y,Y,N
Have you hugged a wacko-bird today?,N,N,N,N
bitch I need that body high do not fuck wit my head pleeeease,Y,Y,Y,N
@kaaaytate do it pussy,Y,Y,Y,N
"""@wodaeeex3: I Want Snake Bites, MY Industrial Piercin &amp; A Tattoo""Dem hoe accessories dea &#128064;&#128064;&#128056;&#9749;",N,Y,Y,N
Pumpkin spice Marlboro's for da hoes,N,N,N,N
pussy on my mind - bow wow,Y,Y,Y,N
Smfh boy you sound just like them hoes!! RT @K_forKicKs: Idk why everybody be hating on the Puerto Rican princess,N,Y,Y,N
"&#8220;@NoChillPaz: White kids favorite activities 1. Calling people ""niggers"" on Xbox 2.fucking their pet 3. Shooting up their school&#8221;",N,Y,Y,N
Power bomb dat hoe,N,Y,Y,N
@DeezNutsDoe I'd hate feeling like a faggot too punk ass hoe,N,Y,Y,N
@AlexisDiamond_ bitch stop fucking playin with me you know wtf I'm talkin about,N,Y,Y,N
RT @KailsCooper: Single ladies Vs Cuffed hoes &#128131;&#128141;,N,N,N,N
RT @MelissaTweets: Scott Walker investigate. Christie's Bridgegate. Perry's drunk monkey Dem DA-gate. All men innocent. All threats to left&#8230;,N,N,N,N
RT @phatsyeo215: these bitches ain't real. &#128514;,N,Y,Y,N
@ajam never happen. Too much republican redneck oil money. Sad butt true. #corruptAmerica,N,Y,Y,N
"I'm ready to cry I'm so mad, like me &amp; this bitch gon have to fight.",N,Y,Y,N
RT @TEL1967: Darn trash man he beat me to the good stuff again. http://t.co/vdDJQ4l0mg,N,Y,Y,N
@KINSL3Y we dont love these hoes,N,Y,Y,N
@staviebby2010 Mmmm sure dont seem like it.. lmfao but yess ill be that bitch:)) now are you done?,N,N,N,N
Some bitches truly ain't shit!,N,Y,Y,N
"RT @JazzyClarks: If you hate me I dont care. New flash bitch, I dont live to please you aha",N,Y,Y,N
Everybody got foreign bitches and foreign cars &#128564;&#128564;,N,N,N,N
"#RebelScience......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome",N,Y,Y,N
Cocky bitches with front teeth that stick out from suckin they thumb &lt;,Y,Y,Y,N
@SSickStory Lester tried to eat your bird,N,Y,Y,N
I'd hit a Kardashian she threw money at me bruh somebody would have to pull me off that hoe idgaf who she is. Nobody to me anyway lol,N,Y,Y,N
Fuck that nigga's shit up! Olivia's pussy got Fitz going batshit!!!,Y,Y,Y,N
Niggas/bitches cheat cause mf's always think they gettin played,Y,Y,Y,Y
My mentions &amp; tl moving fast af sorry if I'm flooding yo shit  I'm lowkey tryna get off this hoe for yall,N,Y,Y,N
"@Steve_wojtkiw @EmmaLouisaSuttl Wise decision,this Alfie must be a right mong.",N,N,N,N
Easy pussy doesn't motivate me,Y,Y,Y,N
"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",N,Y,Y,N
RT @33mLENY: bae: lemme see your phone if you dont have hella hoes   me: one sec http://t.co/MztLPgx4ur,N,Y,Y,N
Actually I'm gonna have @debmuhfknvera train her to be a fag. Don't you dare bring a boy into my house you slut.You scissor like a good girl,N,Y,Y,N
@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?,N,Y,Y,N
@TheRealJohn_Doe thats nate dumbass we all just mock him,N,Y,Y,N
"RT @bruhlmaoo: When bae sings ""it ain't nothin to cut that bitch off"" with too much enthusiasm http://t.co/2rwY1h0D0F",N,Y,Y,N
@MakEitSndGoOd @Fewjr we block us then and see what happens. You think we on ya high yellow ass now. Just watch,N,N,N,N
RT @godlevelshit510: Why Adonnis look like he bout to sell the most ghetto used cars of 2014? http://t.co/icjCf6km8V,N,Y,Y,N
@DIRECTV why are you showing Yankees game in arizona when you promo Washington huskies game? I bet @dish would want my business,N,N,N,N
@morgan_mccubbin fake bitches.... #nicetry,N,Y,Y,N
I got bitches geekin sneaking cocaina cross the customs &#128131;,N,N,N,N
"RT @_JohnFKennedy_: Fuck bitches, get re-elected #TeamJFK",N,Y,Y,N
"Not every girl likes a sweet ass emoji ass nigguh. Some girls like a ""you sexy af"" ass nigguh",N,N,N,N
Fake ass people. That's why I don't have no respect for em. Frontin ass bitches too,N,Y,Y,N
@coryw182 I'm tired bitch &#128532;,N,Y,Y,N
"""@SmeegBaby: Dese hoes be LYIN to all of us nigga""",N,Y,Y,N
RT @iH8TvvitterHoes: This was the most racist bitch in the world.. http://t.co/4L0MRpdITf,N,Y,Y,N
To many niggas and not enough hoes and most of you niggas acting like hoes,N,Y,Y,N
@BetoDavidThomas @JesseCanon bitch my mom didn't call you,N,Y,Y,N
Fuccccck that was ma niggah from Cali swag &#1041222;&#1041216; R.I.P Jayare.,N,Y,Y,N
@WakeUpPeeps1 Read w/o slant your orig statement said 'everything' we have...that is the only extreme comment made,N,N,N,N
Or faggot RT @ez_taughtu: Guess he got caught saying nigga.,N,Y,Y,N
"""In My Mind"" Gotta be the dumb hoe anthem...",N,Y,Y,N
Tupac could fuck any bitch in the world in 1996 and niggas on here crying about a pic he took FOR BITCHES,N,Y,Y,Y
Ray rice had that bitch of the xans and the lean all in one punch,N,Y,Y,N
&#8220;@erickruiz45: I just want the baddest bitch in the world right here on my lap&#8221; @7aidualc9 &#128514;&#128514;&#128514;&#128514;,N,Y,Y,N
"RT @chelsearaine: Aw that's cute, your mom raised you to be a bitchy little cunt&#128536;",N,Y,Y,N
"""I only be with older men cause they're more mature""  That supposed to fool us bitch?",N,Y,Y,N
"RT @JediKnightwing: Please pornstars, stop saying ""fuck that tight pussy.""",Y,Y,Y,N
Spark these bitches interests.,N,Y,Y,N
Note the rocketeer removes cardboard from launcher and carries it to a trash bin before fleeing. #TidyTerrorist  http://t.co/sb3U1XpeG4,N,N,N,N
"@DJSuggablack some people do shit to get shot at and then be like ""people hate me, I dodge bullets"". Karma is bitch.",N,Y,Y,N
